City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Kangaatsiaq,GL,68.3065,-53.4641,37.17,80,99,6.31,overcast clouds
250,Mount Isa,AU,-20.7333,139.5,58.77,33,38,9.22,scattered clouds
251,Itarema,BR,-2.9248,-39.9167,82.38,76,39,15.21,scattered clouds
252,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,63,100,9.71,overcast clouds
253,Marsa Matruh,EG,31.3525,27.2453,75.4,57,0,12.66,clear sky
254,Hofn,IS,64.2539,-15.2082,44.62,76,90,5.75,overcast clouds
255,Ponta Do Sol,PT,32.6667,-17.1,75.13,65,97,6.89,overcast clouds
256,Hovd,MN,48.0056,91.6419,62.04,46,80,2.68,broken clouds
257,Sandnessjoen,NO,66.0217,12.6316,55.51,94,75,9.22,light rain
258,Gornopravdinsk,RU,60.05,69.9,51.84,90,100,12.64,overcast clouds
259,Karaj,IR,35.8355,51.0103,89.64,14,0,9.22,clear sky
260,Saskylakh,RU,71.9167,114.0833,65.43,56,75,7.92,broken clouds
261,Panji,ID,-7.7253,114.0995,76.14,86,100,4.12,overcast clouds
262,Tuatapere,NZ,-46.1333,167.6833,34.83,93,20,4.56,few clouds
263,Jaen,ES,38.0,-3.5,67.93,42,92,13.13,overcast clouds
264,Ahipara,NZ,-35.1667,173.1667,52.77,89,14,4.23,few clouds
265,Youghal,IE,51.95,-7.8506,63.0,70,77,15.73,broken clouds
266,Sosnovo-Ozerskoye,RU,52.5249,111.5418,52.32,57,99,15.82,overcast clouds
267,Dire Dawa,ET,9.5931,41.8661,80.26,45,94,9.93,overcast clouds
268,Kununurra,AU,-15.7667,128.7333,73.38,40,22,5.75,few clouds
269,Touros,BR,-5.1989,-35.4608,86.9,68,14,16.53,few clouds
270,Yar-Sale,RU,66.8333,70.8333,39.11,68,81,18.88,broken clouds
271,Maracacume,BR,-2.0428,-45.9592,87.82,58,10,4.63,clear sky
272,Segovia,ES,41.1667,-4.0,66.06,72,79,3.74,broken clouds
273,Sungaipenuh,ID,-2.0833,101.3833,64.45,98,100,1.74,moderate rain
274,Mugla,TR,37.2303,28.3557,65.07,61,34,3.0,scattered clouds
275,Dakar,SN,14.6937,-17.4441,88.68,69,20,9.22,few clouds
276,Kirkwall,GB,58.9848,-2.9587,57.54,71,40,12.66,scattered clouds
277,Ketchikan,US,55.3422,-131.6461,54.07,87,90,4.61,light rain
278,Pisco,PE,-13.7,-76.2167,67.01,82,20,8.05,few clouds
279,Kemijarvi,FI,66.7131,27.4306,57.83,63,93,9.26,light rain
280,Grindavik,IS,63.8424,-22.4338,47.55,65,75,12.66,broken clouds
281,Bilibino,RU,68.0546,166.4372,36.64,99,100,2.64,light rain
282,Sorland,NO,67.667,12.6934,51.87,95,70,16.69,broken clouds
283,Vao,NC,-22.6667,167.4833,71.58,75,7,4.99,clear sky
284,Sanming,CN,26.2486,117.6186,78.94,87,85,3.11,overcast clouds
285,Namibe,AO,-15.1961,12.1522,67.51,80,15,8.59,few clouds
286,Novyy Nekouz,RU,57.9029,38.07,62.2,74,66,4.9,broken clouds
287,Crawfordsville,US,40.0411,-86.8745,85.32,46,47,6.62,scattered clouds
288,Kampot,KH,10.6167,104.1833,78.85,82,72,6.96,broken clouds
289,Soligalich,RU,59.0778,42.2864,54.36,74,37,3.47,scattered clouds
290,Trenggalek,ID,-8.05,111.7167,73.76,95,89,1.14,overcast clouds
291,Kutum,SD,14.2,24.6667,80.28,37,100,5.75,overcast clouds
292,Omboue,GA,-1.5746,9.2618,76.33,85,84,7.85,broken clouds
293,Uinskoye,RU,56.8817,56.5813,57.83,56,74,9.37,broken clouds
294,Krasnyy Chikoy,RU,50.3643,108.7512,46.62,86,12,7.78,few clouds
295,Kavaratti,IN,10.5669,72.642,83.28,78,46,21.54,scattered clouds
296,Kushva,RU,58.2906,59.7592,59.31,45,71,10.45,broken clouds
297,Tura,IN,25.5198,90.2201,75.06,87,57,3.02,broken clouds
298,Saquena,PE,-4.6667,-73.5167,82.96,71,96,3.13,overcast clouds
299,Maldonado,UY,-34.6667,-54.9167,51.19,69,100,11.1,overcast clouds
300,Aksu,CN,41.1231,80.2644,72.73,23,59,3.38,broken clouds
301,Hamilton,US,39.1834,-84.5333,84.15,45,20,1.99,few clouds
302,Broome,US,42.2506,-75.833,73.18,41,1,1.99,clear sky
303,Atar,MR,20.5169,-13.0499,103.71,12,8,13.18,clear sky
304,Zyryanka,RU,65.75,150.85,52.9,47,96,9.84,overcast clouds
305,Westport,US,41.1415,-73.3579,78.62,33,20,1.99,few clouds
306,Noumea,NC,-22.2763,166.4572,71.01,99,22,4.03,few clouds
307,Yazman,PK,29.1212,71.7446,87.82,48,92,19.01,overcast clouds
308,Helena,US,46.5927,-112.0361,82.26,25,1,8.01,clear sky
309,Panzhihua,CN,26.5851,101.7128,76.77,76,81,2.26,broken clouds
310,Denizli,TR,37.8402,29.0698,76.05,52,10,4.81,clear sky
311,Betong,TH,5.7743,101.0723,70.12,98,100,2.17,overcast clouds
312,Port Blair,IN,11.6667,92.75,82.54,82,100,12.41,light rain
313,Spassk-Dalniy,RU,44.5978,132.8211,55.36,92,100,8.88,heavy intensity rain
314,Xichang,CN,27.8964,102.2634,69.42,91,97,0.72,overcast clouds
315,San Patricio,US,28.017,-97.5169,93.29,48,34,11.07,scattered clouds
316,Vyritsa,RU,59.4078,30.3481,67.51,67,62,2.84,broken clouds
317,Ancud,CL,-41.8697,-73.8203,53.22,59,0,8.21,clear sky
318,Cape Canaveral,US,28.4058,-80.6048,89.98,63,40,4.61,scattered clouds
319,Codrington,AU,-38.2667,141.9667,51.6,90,74,8.57,broken clouds
320,La Ronge,CA,55.1001,-105.2842,59.22,58,90,10.36,overcast clouds
321,Mareeba,AU,-17.0,145.4333,66.43,96,35,1.07,scattered clouds
322,Teguise,ES,29.0605,-13.564,71.82,57,40,12.66,scattered clouds
323,Mbandaka,CD,0.0487,18.2603,74.41,82,98,7.36,overcast clouds
324,Bubaque,GW,11.2833,-15.8333,81.75,78,44,10.18,scattered clouds
325,Pedernales,DO,18.0384,-71.744,89.06,54,78,2.48,broken clouds
326,Sumenep,ID,-7.0167,113.8667,78.94,84,100,2.24,overcast clouds
327,Alofi,NU,-19.0595,-169.9187,73.29,94,95,3.44,light rain
328,Mahanoro,MG,-19.9,48.8,66.79,79,3,2.91,clear sky
329,Mvuma,ZW,-19.2792,30.5283,57.42,43,3,6.33,clear sky
330,Rincon,US,32.296,-81.2354,89.56,45,20,1.01,few clouds
331,Am Timan,TD,11.0297,20.2827,85.55,51,95,9.01,overcast clouds
332,Ouallam,NE,14.3188,2.0866,100.98,19,47,1.86,scattered clouds
333,Souillac,MU,-20.5167,57.5167,70.36,94,75,9.22,light rain
334,Hedensted,DK,55.7704,9.7011,84.02,84,3,10.71,clear sky
335,Mildura,AU,-34.2,142.15,49.96,100,90,5.75,light rain
336,Mount Gambier,AU,-37.8333,140.7667,48.11,100,94,5.75,overcast clouds
337,Claremore,US,36.3126,-95.6161,94.6,53,10,3.0,clear sky
338,Coquimbo,CL,-29.9533,-71.3436,60.53,77,0,11.5,clear sky
339,Saint-Gaudens,FR,43.0833,0.6667,69.53,95,61,7.29,broken clouds
340,Dabrowa Gornicza,PL,50.3182,19.2374,79.79,51,17,8.19,few clouds
341,Eenhana,NA,-17.4667,16.3333,63.7,25,6,4.07,clear sky
342,Malanje,AO,-9.5402,16.341,67.95,40,13,1.05,few clouds
343,Shelburne,CA,44.0787,-80.2041,74.28,16,55,11.07,broken clouds
344,Ilulissat,GL,69.2167,-51.1,39.22,81,40,5.75,scattered clouds
345,Qiongshan,CN,20.0058,110.3542,78.78,94,0,4.47,clear sky
346,Talcahuano,CL,-36.7167,-73.1167,58.68,67,0,4.61,clear sky
