City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Kahului,US,2021-06-14 19:51:39,20.8947,-156.47,81.97,68,40,18.41
232,Mersing,MY,2021-06-14 19:51:39,2.4312,103.8405,75.11,94,57,6.91
233,Sturgeon Falls,CA,2021-06-14 19:51:40,46.3646,-79.9326,65.08,91,100,7.25
234,Maniitsoq,GL,2021-06-14 19:51:40,65.4167,-52.9,38.68,86,100,17.49
235,Bereda,ES,2021-06-14 19:51:40,43.2686,-7.5406,64.15,95,95,5.06
236,Clyde River,CA,2021-06-14 19:51:41,70.4692,-68.5914,35.83,93,75,4.61
237,Basoko,CD,2021-06-14 19:51:41,1.2391,23.616,74.43,85,97,1.99
238,Russell,US,2021-06-14 19:51:41,32.3502,-85.1999,92.35,60,20,3.44
239,Coos Bay,US,2021-06-14 19:51:42,43.3665,-124.2179,71.31,80,1,9.22
240,Ardakan,IR,2021-06-14 19:51:42,32.31,54.0175,91.78,15,0,7.9
241,Pacific Grove,US,2021-06-14 19:51:42,36.6177,-121.9166,83.57,79,90,4.0
242,Ilorin,NG,2021-06-14 19:51:43,8.5,4.55,77.18,85,96,6.29
243,Bambous Virieux,MU,2021-06-14 19:51:43,-20.3428,57.7575,72.21,88,40,10.36
244,Saint Anthony,US,2021-06-14 19:51:43,45.0205,-93.218,86.85,28,1,4.0
245,San Rafael Del Sur,NI,2021-06-14 19:51:44,11.8485,-86.4384,86.97,67,100,12.91
246,Tocopilla,CL,2021-06-14 19:51:44,-22.092,-70.1979,70.7,55,90,3.53
247,Fairbanks,US,2021-06-14 19:51:44,64.8378,-147.7164,74.1,45,1,10.36
248,Bozoum,CF,2021-06-14 19:51:46,6.3193,16.3799,72.37,85,23,4.5
249,Saint-Georges,GD,2021-06-14 19:47:52,12.0564,-61.7485,83.88,74,40,18.41
250,Yellowknife,CA,2021-06-14 19:51:25,62.456,-114.3525,68.56,56,40,5.75
251,Chuy,UY,2021-06-14 19:51:47,-33.6971,-53.4616,61.99,73,7,4.9
252,Bulle,CH,2021-06-14 19:51:47,46.6195,7.0567,75.65,82,0,3.74
253,Ugoofaaru,MV,2021-06-14 19:51:48,5.6667,73.0,83.14,73,80,17.6
254,Oussouye,SN,2021-06-14 19:51:48,12.485,-16.5469,82.49,68,100,9.22
